id,x,y,eame,heth,SurveyDate,Year,julian,hour
1,494347.6418,498005.1517,0,1,6/9/20,2016,161,8
2,491835.9061,495080.7641,0,0,6/9/20,2016,161,5
3,493616.9596,497366.0335,0,0,6/9/20,2016,161,8
4,493668.5292,494368.668,0,1,6/9/20,2016,161,5
5,491156.8961,495354.8425,0,0,6/9/20,2016,161,4
6,496204.3754,447138.3919,0,0,6/9/20,2016,161,7
7,498551.3538,498567.3302,1,0,6/9/20,2016,161,6
8,496375.1889,499602.5646,0,0,6/9/20,2016,161,7
9,499577.7668,500637.9805,1,0,6/9/20,2016,161,7
10,496156.2507,501792.9312,1,0,6/9/20,2016,161,7
11,498008.38,491115.2227,0,0,6/9/20,2016,161,6
12,495975.8225,492153.4046,0,0,6/9/20,2016,161,5
13,497918.696,492128.6412,1,0,6/9/20,2016,161,6
14,498269.308,490520.0202,0,0,6/9/20,2016,161,5
15,497818.4318,493725.3062,1,0,6/9/20,2016,161,6
16,533298.7241,383376.2199,0,1,6/10/20,2016,162,6
17,532223.2247,386738.3691,0,0,6/10/20,2016,162,7
18,531282.8187,383928.9272,0,1,6/10/20,2016,162,6
19,534718.1324,386583.5061,0,0,6/10/20,2016,162,7
20,532224.8551,386289.6605,0,0,6/10/20,2016,162,6
21,535719.4624,389983.3712,0,1,6/19/20,2016,171,8
22,537569.6425,390279.0243,0,1,6/19/20,2016,171,7
23,537846.2911,387312.0254,0,0,6/10/20,2016,162,7
24,535405.6844,391448.7336,0,0,6/19/20,2016,171,7
25,535963.5234,390540.4071,0,1,6/19/20,2016,171,7
26,537902.498,381648.8536,0,1,6/10/20,2016,162,5
27,535104.0849,380944.3942,0,1,6/10/20,2016,162,5
28,538806.1338,378150.5338,0,1,6/10/20,2016,162,4
29,538981.4497,380618.9312,0,1,6/10/20,2016,162,5
30,538697.9888,378894.3731,0,0,6/10/20,2016,162,5
31,395832.633,499116.8269,0,0,5/31/20,2016,152,6
32,395097.4631,498725.5235,0,0,5/31/20,2016,152,6
33,393761.3604,498000.5197,0,0,5/31/20,2016,152,7
34,394334.0814,497867.0012,0,0,5/31/20,2016,152,6
35,392175.5553,499488.9364,0,1,5/31/20,2016,152,7
36,400947.3324,499500.7328,0,0,5/31/20,2016,152,8
37,400995.2425,501353.4108,1,0,5/31/20,2016,152,8
38,399795.2048,502719.3897,0,0,5/31/20,2016,152,8
39,397281.6928,502708.2877,0,0,5/31/20,2016,152,7
40,397873.9963,504030.4704,0,0,5/31/20,2016,152,7
41,400871.3309,494653.7758,0,0,5/31/20,2016,152,6
42,399261.0156,490360.0643,0,0,5/31/20,2016,152,4
43,399993.5817,490957.4951,0,0,5/31/20,2016,152,5
44,400800.9183,490740.1888,0,0,5/31/20,2016,152,5
45,400019.0382,494678.5779,0,1,5/31/20,2016,152,5
46,532964.1591,522755.2685,1,0,6/13/20,2016,165,8
47,529866.1387,522736.3655,1,1,6/13/20,2016,165,6
48,532721.9191,525617.6063,0,1,6/13/20,2016,165,6
49,529914.9969,524654.9874,0,0,6/12/20,2016,164,9
50,531129.6676,523571.6396,0,1,6/12/20,2016,164,9
51,535559.6006,528738.9611,0,1,6/13/20,2016,165,4
52,535100.4709,528376.7995,0,1,6/13/20,2016,165,6
53,537276.9499,526497.1221,0,1,6/13/20,2016,165,5
54,535145.05,527132.672,0,1,6/13/20,2016,165,6
55,535208.2517,526316.2961,0,1,6/13/20,2016,165,5
56,536125.7799,520311.8399,0,0,6/13/20,2016,165,8
57,538459.3811,518716.2586,0,0,6/13/20,2016,165,9
58,535892.669,521119.9958,0,0,6/13/20,2016,165,8
59,539238.4265,519526.2022,0,0,6/13/20,2016,165,9
60,536875.3161,519249.5347,0,1,6/13/20,2016,165,8
61,651494.4007,332274.5155,0,0,6/13/20,2016,165,6
62,653761.8861,328790.5088,0,0,6/13/20,2016,165,7
63,654399.5844,329057.6096,0,0,6/13/20,2016,165,6
64,654432.0706,328687.1721,0,0,6/13/20,2016,165,7
65,653538.9497,332072.5166,0,0,6/13/20,2016,165,6
66,658052.3806,336935.5042,1,0,6/13/20,2016,165,8
67,660565.862,335764.2307,1,0,6/13/20,2016,165,8
68,658958.2627,336156.3958,0,0,6/13/20,2016,165,9
69,660078.2507,337772.9119,1,0,6/13/20,2016,165,8
70,660614.9893,334535.2821,0,0,6/13/20,2016,165,8
71,659903.692,324110.8337,0,0,6/13/20,2016,165,4
72,658808.5143,328261.3783,0,0,6/13/20,2016,165,5
73,659976.8441,328282.1817,1,0,6/13/20,2016,165,5
74,659939.015,326512.5759,0,0,6/13/20,2016,165,5
75,660645.1994,326876.1277,0,0,6/13/20,2016,165,5
76,356085.4712,553789.3966,0,0,7/1/20,2016,183,7
77,355759.2806,551757.9319,0,0,7/1/20,2016,183,8
78,358328.4122,551350.0946,0,0,6/30/20,2016,182,9
79,356828.3045,551379.9288,0,1,7/1/20,2016,183,8
80,357747.0441,552820.2573,0,1,7/1/20,2016,183,7
81,362767.0599,558401.0512,0,1,7/1/20,2016,183,6
82,362020.4536,560366.3166,0,0,7/1/20,2016,183,5
83,363273.1935,559973.6084,0,0,7/1/20,2016,183,6
84,360021.1971,559528.7473,1,0,7/1/20,2016,183,6
85,361148.4893,557698.0957,1,0,7/1/20,2016,183,7
86,358769.562,551303.2002,0,0,6/30/20,2016,182,8
87,358562.0974,548128.0226,0,0,7/1/20,2016,183,9
88,359197.7957,546794.4381,0,0,7/1/20,2016,183,9
89,362444.2017,546845.8144,1,0,6/30/20,2016,182,9
90,362463.0557,547317.7873,0,0,6/30/20,2016,182,9
91,608256.9404,606181.0446,0,1,6/9/20,2016,161,6
92,608311.0455,607550.9076,0,0,6/9/20,2016,161,5
93,607977.7812,607213.8838,0,1,6/9/20,2016,161,5
94,611553.5145,606305.6571,0,1,6/9/20,2016,161,5
95,607831.4669,605941.6192,0,1,6/9/20,2016,161,6
96,611356.4638,609718.8548,0,1,6/9/20,2016,161,6
97,614275.8315,611377.463,0,1,6/9/20,2016,161,9
98,613697.5556,614552.5719,0,1,6/15/20,2016,167,8
99,614826.5306,611092.5103,0,1,6/9/20,2016,161,8
100,614742.0701,610687.8062,0,1,6/9/20,2016,161,8
101,615904.5875,611685.9395,0,1,6/9/20,2016,161,9
102,612040.1521,614652.0795,0,0,6/15/20,2016,167,8
103,613056.8706,602259.6527,0,1,6/9/20,2016,161,4
104,614559.2029,604603.9241,0,1,6/9/20,2016,161,7
105,612973.5746,604497.6547,0,1,6/9/20,2016,161,5
106,615110.5128,605125.799,0,1,6/9/20,2016,161,7
107,616566.6038,602585.675,0,1,6/9/20,2016,161,8
108,615737.1089,605237.7064,0,1,6/9/20,2016,161,7
109,570211.0517,438393.2285,1,0,6/8/20,2016,160,7
110,570488.9199,440651.4701,1,1,6/8/20,2016,160,6
111,572088.0423,440128.6412,0,0,6/8/20,2016,160,6
112,573791.2919,438788.3723,0,0,6/8/20,2016,160,7
113,570491.9878,441076.9425,0,0,6/8/20,2016,160,6
114,576904.8588,446892.9476,0,0,6/8/20,2016,160,5
115,579479.4054,443774.4676,0,1,6/8/20,2016,160,4
116,577582.5608,444979.3476,0,0,6/8/20,2016,160,5
117,577175.0261,443203.9354,0,1,6/8/20,2016,160,5
118,578540.3237,446024.3338,0,0,6/8/20,2016,160,5
119,579366.2565,438120.2774,0,1,6/8/20,2016,160,8
120,577723.191,436915.8018,0,0,6/8/20,2016,160,8
121,578541.8468,438068.3864,0,1,6/8/20,2016,160,9
122,575261.8658,436516.7913,0,0,6/8/20,2016,160,8
123,576560.87,438159.7574,0,1,6/8/20,2016,160,7
124,357226.0235,662857.5852,0,1,6/28/20,2016,180,6
125,358608.0092,662631.6911,0,1,6/28/20,2016,180,6
126,360874.3487,663723.816,0,1,6/28/20,2016,180,5
127,356826.6077,662702.6249,0,1,6/28/20,2016,180,6
128,360920.6139,665723.9901,0,1,6/28/20,2016,180,5
129,360908.0596,665098.3292,0,1,6/28/20,2016,180,5
130,360895.9176,664634.9928,0,1,6/28/20,2016,180,5
131,362679.8172,669277.2632,0,1,7/1/20,2016,183,7
132,363809.0152,668982.3317,0,1,7/1/20,2016,183,6
133,362609.207,668687.5786,0,1,7/1/20,2016,183,7
134,362985.1532,668165.2604,0,1,7/1/20,2016,183,7
135,362422.8858,669735.3578,0,1,7/1/20,2016,183,7
136,364256.6055,661933.9029,0,1,6/28/20,2016,180,8
137,362552.6352,660902.6455,0,1,6/28/20,2016,180,7
138,364566.6498,660886.3924,0,1,6/28/20,2016,180,8
139,364294.2389,660430.8375,0,1,6/28/20,2016,180,7
140,365303.3768,660760.8628,0,1,6/28/20,2016,180,8
141,363423.5513,660254.1782,0,1,6/28/20,2016,180,7
142,365654.2128,660946.5153,0,1,6/28/20,2016,180,8
143,590912.1585,606312.2735,0,1,7/1/20,2016,183,10
144,589085.9972,606520.5034,0,1,7/1/20,2016,183,10
145,590281.49,605650.5797,0,1,7/1/20,2016,183,10
146,543952.7139,605353.1611,0,0,7/1/20,2016,183,9
147,588289.6401,606521.6563,0,1,7/1/20,2016,183,11
148,596822.6056,610932.2423,0,1,7/1/20,2016,183,5
149,597320.612,613919.8995,0,1,7/1/20,2016,183,6
150,596596.7753,611271.6947,0,1,7/1/20,2016,183,5
151,594211.6292,611738.1644,0,0,7/1/20,2016,183,6
152,595858.931,610845.8743,0,0,7/1/20,2016,183,5
153,595138.5207,601892.9075,0,1,7/1/20,2016,183,8
154,594911.5312,600898.9634,0,1,7/1/20,2016,183,9
155,593340.1179,604085.9647,0,1,7/1/20,2016,183,7
156,592780.9829,603675.9968,0,0,7/1/20,2016,183,7
157,593092.59,601989.5367,0,1,7/1/20,2016,183,8
158,594790.3164,604442.2434,0,1,7/1/20,2016,183,8
159,594304.1736,604424.1621,0,1,7/1/20,2016,183,7
160,531136.9559,247708.9111,0,0,6/8/20,2016,160,7
161,530981.9511,247325.5658,0,0,6/8/20,2016,160,8
162,530837.9783,245639.7125,0,0,6/8/20,2016,160,8
163,533861.0434,246873.237,0,0,6/8/20,2016,160,7
164,534271.3199,244935.2654,1,0,6/8/20,2016,160,8
165,537118.0548,250764.8252,0,0,6/8/20,2016,160,6
166,537349.5461,249861.5066,0,0,6/8/20,2016,160,6
167,539523.0541,250554.6634,0,1,6/8/20,2016,160,5
168,537928.6625,249449.9015,1,0,6/8/20,2016,160,7
169,538091.8415,251550.1649,1,0,6/8/20,2016,160,6
170,539653.5981,239741.6643,1,0,6/19/20,2016,171,7
171,535442.6057,240692.6335,1,0,6/8/20,2016,160,9
172,536562.9231,240524.2142,1,0,6/8/20,2016,160,10
173,535714.302,240186.893,1,0,6/8/20,2016,160,9
174,539140.2636,239754.6643,1,0,6/19/20,2016,171,7
175,355107.7272,470964.0649,0,1,6/8/20,2016,160,6
176,352580.9213,471182.5327,0,0,6/8/20,2016,160,6
177,353112.0894,468512.1349,0,1,6/8/20,2016,160,7
178,352077.0404,471684.7212,0,0,6/8/20,2016,160,6
179,353359.7078,471650.3472,0,0,6/8/20,2016,160,6
180,357794.5498,473919.3128,0,0,6/8/20,2016,160,5
181,357300.1436,475712.4534,0,0,6/8/20,2016,160,5
182,359665.9619,473424.5538,0,0,6/8/20,2016,160,5
183,358683.9477,473896.9939,0,0,6/8/20,2016,160,5
184,359275.0114,475480.5932,0,0,6/8/20,2016,160,4
185,360510.6358,466229.9926,0,0,6/8/20,2016,160,7
186,358099.8442,467417.0217,0,0,6/8/20,2016,160,7
187,357453.9557,463435.1198,0,0,6/8/20,2016,160,8
188,356489.2538,466656.1804,0,0,6/8/20,2016,160,7
189,361335.5517,463569.9155,0,0,6/8/20,2016,160,8
190,534138.7895,414601.8365,0,1,6/19/20,2016,171,6
191,534523.499,411530.4225,0,0,6/13/20,2016,165,6
192,533150.4728,414587.5647,0,0,6/19/20,2016,171,6
193,534512.1164,411979.1276,0,0,6/13/20,2016,165,6
194,534324.724,413241.6049,0,0,6/19/20,2016,171,6
195,537722.4804,417178.5359,0,0,6/19/20,2016,171,5
196,538462.9787,415714.4143,0,1,6/19/20,2016,171,5
197,537893.5936,416813.57,0,0,6/19/20,2016,171,5
198,538703.9774,418045.4106,0,1,6/19/20,2016,171,5
199,538101.0765,418038.1653,0,1,6/19/20,2016,171,5
200,539354.0702,406630.1665,0,1,6/13/20,2016,165,4
201,535875.2408,407546.0795,0,1,6/13/20,2016,165,6
202,537778.9818,406025.9394,0,0,6/13/20,2016,165,5
203,538203.2507,405934.9097,0,0,6/13/20,2016,165,5
204,539785.5244,409198.3151,0,1,6/13/20,2016,165,5
205,669547.4692,551178.0606,0,1,6/9/20,2016,161,7
206,667168.4097,553153.8873,0,1,6/9/20,2016,161,5
207,670378.362,555059.5122,0,0,6/9/20,2016,161,4
208,670471.8151,552134.9412,0,1,6/9/20,2016,161,7
209,667168.8092,555475.9478,0,1,6/9/20,2016,161,5
210,667738.9268,552186.8686,0,1,6/9/20,2016,161,5
211,676270.5988,556911.8743,0,1,6/9/20,2016,161,8
212,672888.7593,559277.5264,0,1,6/9/20,2016,161,4
213,676147.5367,559343.3132,0,1,6/9/20,2016,161,9
214,676188.7966,557999.2493,0,1,6/9/20,2016,161,9
215,675081.9539,558484.2746,0,1,6/9/20,2016,161,9
216,676157.5707,558940.0354,0,1,6/9/20,2016,161,9
217,676446.7711,549512.7605,0,0,6/9/20,2016,161,8
218,675154.7761,551095.967,0,1,6/9/20,2016,161,7
219,675581.3526,550625.1674,0,1,6/9/20,2016,161,7
220,672962.5382,547879.7883,0,1,6/9/20,2016,161,6
221,674332.0036,546972.778,0,0,6/9/20,2016,161,6
222,675726.4395,548937.9766,0,1,6/9/20,2016,161,8
223,674722.7629,546787.8311,0,1,6/9/20,2016,161,6
224,431469.4756,469140.2324,0,0,6/21/20,2016,173,6
225,431087.1706,467852.2541,0,0,6/21/20,2016,173,9
226,433509.3152,469602.5351,1,0,6/21/20,2016,173,6
227,433509.3152,469602.5351,0,0,6/21/20,2016,173,6
228,432470.6191,467515.6026,0,0,6/21/20,2016,173,8
229,436845.2553,474859.2964,0,1,6/21/20,2016,173,5
230,437431.3511,474995.0789,0,1,6/21/20,2016,173,5
231,440625.0845,474711.6339,0,1,6/21/20,2016,173,5
232,440236.2429,471570.1065,0,1,6/21/20,2016,173,6
233,436939.3462,475585.7944,0,1,6/21/20,2016,173,5
234,436685.5437,461856.0074,0,0,6/21/20,2016,173,8
235,440477.3918,464903.4586,0,1,6/21/20,2016,173,7
236,440467.1145,464132.5682,0,1,6/21/20,2016,173,7
237,440478.2795,465426.7176,0,1,6/21/20,2016,173,7
238,437922.0735,461887.9737,0,1,6/21/20,2016,173,8
239,614581.0187,247753.3171,0,0,6/5/20,2016,157,7
240,616996.4599,247967.7914,0,0,6/5/20,2016,157,6
241,615391.5752,245470.9477,0,0,6/5/20,2016,157,5
242,616101.0235,247968.6249,0,0,6/5/20,2016,157,6
243,615051.5652,247493.2081,1,0,6/5/20,2016,157,5
244,621578.4227,251097.9271,1,0,6/5/20,2016,157,8
245,620048.2638,250791.2765,0,0,6/5/20,2016,157,7
246,621432.3757,249554.1471,0,0,6/5/20,2016,157,8
247,620011.4769,252371.2468,0,0,6/5/20,2016,157,8
248,617714.4973,251071.1054,0,0,6/5/20,2016,157,7
249,619921.9397,242290.5737,0,0,6/1/20,2016,153,7
250,618729.1129,240436.4527,0,0,6/1/20,2016,153,6
251,620822.6437,240231.1082,0,0,6/1/20,2016,153,6
252,620278.5298,241955.8589,0,0,6/1/20,2016,153,7
253,620327.3062,240738.1636,0,0,6/1/20,2016,153,8
254,333890.2441,500707.6327,0,0,5/30/20,2016,151,9
255,336791.5154,497267.3739,1,0,5/30/20,2016,151,8
256,337091.6249,499696.9055,0,0,5/30/20,2016,151,8
257,333338.8503,499180.5133,0,0,5/30/20,2016,151,9
258,333536.4321,500919.1812,1,0,5/30/20,2016,151,8
259,340144.5503,502666.5038,0,0,5/30/20,2016,151,5
260,340412.6548,503641.7476,1,0,5/30/20,2016,151,5
261,338518.3457,502784.7581,0,1,5/30/20,2016,151,5
262,339715.2292,502665.2638,0,1,5/30/20,2016,151,5
263,341966.3977,501667.1663,0,0,5/30/20,2016,151,6
264,340811.7945,491822.8083,0,0,5/30/20,2016,151,7
265,338492.9472,494319.4389,1,0,5/30/20,2016,151,7
266,341984.1383,496063.5776,1,0,5/30/20,2016,151,6
267,341702.7047,494381.5947,1,0,5/30/20,2016,151,6
268,339136.4704,493883.2204,1,0,5/30/20,2016,151,7
269,433253.3384,610013.5538,0,1,6/26/20,2016,178,8
270,433926.0049,609562.968,0,1,6/26/20,2016,178,8
271,436789.1522,606333.3273,0,1,7/1/20,2016,183,5
272,437452.0417,607889.078,0,1,7/1/20,2016,183,5
273,437147.1119,605730.6691,0,1,7/1/20,2016,183,5
274,440171.4636,610384.7533,0,0,7/1/20,2016,183,6
275,438886.5903,610092.5711,0,1,7/1/20,2016,183,7
276,441513.9847,610772.0332,0,1,7/1/20,2016,183,6
277,441033.8695,610677.0324,0,1,7/1/20,2016,183,6
278,439512.5808,603822.5551,0,1,7/1/20,2016,183,7
279,442550.1094,613061.4245,0,1,7/1/20,2016,183,6
280,437928.1724,604800.1454,0,0,7/1/20,2016,183,5
281,439678.012,558469.3967,0,0,6/30/20,2016,182,8
282,440325.0784,603539.7888,0,1,6/30/20,2016,182,9
283,440165.4093,601204.937,0,1,6/30/20,2016,182,8
284,440822.7205,605081.3411,0,1,6/30/20,2016,182,9
285,453169.035,245642.825,0,0,5/25/20,2016,146,9
286,452821.6682,246745.6168,1,0,5/25/20,2016,146,9
287,449639.8891,246605.0939,1,0,5/25/20,2016,146,9
288,450155.4025,247029.6543,0,0,5/25/20,2016,146,9
289,451218.5275,246676.9604,0,0,5/25/20,2016,146,8
290,453762.7036,249967.0979,0,0,5/25/20,2016,146,7
291,458235.33,249786.8848,0,0,5/25/20,2016,146,8
292,458476.3173,251653.7508,0,0,5/25/20,2016,146,6
293,456701.8206,252048.4676,0,0,5/25/20,2016,146,7
294,455115.4233,249002.5447,0,0,5/25/20,2016,146,8
295,377130.3892,554369.6743,0,0,6/11/20,2016,163,5
296,373916.0291,554391.3206,0,0,6/11/20,2016,163,5
